game.id,seller.id,buyer.id,game.seller_buyer,session.code,game.round_number,game.first_player,game.second_player,game.id_in_subsession,game.RANDOM_TRANSFER_SUCCESS,game.BUYER_DECISION_FIRST,game.SELLER_META_BELIEVE,game.BUYER_TRANSFER,game.BUYER_BELIEVE,seller.participant.id_in_session,seller.participant.last_page_index,seller.participant._max_page_index,seller.participant.last_app_visited,seller.participant.last_page_visited,seller.participant.final_payoff,seller.participant.final_payoff_plus_participation_fee,seller.participant.ability_to_lie,seller.participant.ability_to_detect_lies,seller.player.id_in_group,seller.player.player_round_num,seller.player.payoff,seller.participant.gender,seller.participant.age,seller.participant.education,seller.participant.political_beliefs,seller.participant.comments,buyer.participant.id_in_session,buyer.participant.last_page_index,buyer.participant._max_page_index,buyer.participant.last_app_visited,buyer.participant.last_page_visited,buyer.participant.final_payoff,buyer.participant.final_payoff_plus_participation_fee,buyer.participant.ability_to_lie,buyer.participant.ability_to_detect_lies,buyer.player.id_in_group,buyer.player.player_round_num,buyer.player.payoff,buyer.participant.gender,buyer.participant.age,buyer.participant.education,buyer.participant.political_beliefs,buyer.participant.comments,game.chat_log,game.seller_lied,game.useful_convo,seller.participant.general_instructions_timedout,seller.participant.self_rating_timedout,seller.participant.demographics_timedout,buyer.participant.general_instructions_timedout,buyer.participant.self_rating_timedout,buyer.participant.demographics_timedout,game.buyer_intructions_timedout,game.seller_intructions_timedout,game.buyer_decision_timedout,game.seller_decision_timedout
qwyowsv5_1,tqwt671t,vp8atvt1,tqwt671t_vp8atvt1,qwyowsv5,1,5,3,2,1,1,0.85,0,0,5,363,365,demographics_app,summary_page,4,7,0.8,0.7,1,1,1,,NA,,NA,,3,366,365,demographics_app,completion_code,5,8,0.71,0.97,2,1,1,Woman,30,Completed undergraduate University/College degree,-39,,"Buyer: Hi
Seller: Hello!
Buyer: Have you received the $1.00 payment
Seller: The last screen said the the amount didn't transfer.
Buyer: thanks
Seller: I have 0.00
Seller: Yeah np",1,1,0,0,NA,0,0,0,0,0,0,0
qwyowsv5_2,lqu28rjs,5e017hfb,lqu28rjs_5e017hfb,qwyowsv5,2,6,1,3,1,1,0.05,1,0.3,6,366,365,demographics_app,completion_code,5,8,0.09,0.23,1,1,2,Man,28,Completed undergraduate University/College degree,40,"no technical issues, it all worked well.",1,366,365,demographics_app,completion_code,4,7,0.9,0.75,2,1,0,Man,32,"Completed advanced University/College degree (Masters, PhD...)",-30,None.,"Buyer: hello
Seller: hi
Buyer: you got $1 ?
Seller: the amount was not shown up
Buyer: what is iit showing 
Seller: not sure why
Seller: not see it
Buyer: you're supposed to know if you got it or no 
Seller: yeah I looked, maybe it's this program not working
Seller: right
Buyer: oh ok",1,1,0,0,0,0,0,0,0,0,0,0
qwyowsv5_3,ypvg2u66,5y50c006,ypvg2u66_5y50c006,qwyowsv5,3,2,4,4,0,1,0.1,0,0.35,2,366,365,demographics_app,completion_code,3,6,0.75,0.4,1,1,0,Man,21,Completed secondary school/high school,28,,4,366,365,demographics_app,completion_code,4,7,0.95,0.23,2,1,0,Woman,58,Completed secondary school/high school,30,,"Buyer: Hi, did you get the payment?
Seller: Hey, It looks like the transfer failed. I'm not sure what happened. I did not receive the payment yet, no.
Buyer: Let's be honest with each other to benefit us both because I would rather take nothing and give you nothing than come out on the short end.
Seller: That seems fair, I want us to both get out of this fairly. I'm not here to scam you :)",NA,1,0,0,0,0,0,0,0,1,0,0
qwyowsv5_4,oxnr974n,tqwt671t,oxnr974n_tqwt671t,qwyowsv5,4,7,5,5,0,1,0,0,0.05,7,366,365,demographics_app,completion_code,4,7,1,1,1,1,0,Man,33,Completed undergraduate University/College degree,50,,5,363,365,demographics_app,summary_page,4,7,0.8,0.7,2,2,0,,NA,,NA,,"Buyer: Hiya
Seller: Hello
Seller: why did the transfer fail?
Buyer: I wouldn't know that
Buyer: I was just told it was 50/50
Seller: Oh  :(
Buyer: I can transfer it again if you didn't get it.
Seller: Ok :)",NA,1,0,0,0,0,0,NA,0,0,0,0
qwyowsv5_5,lqu28rjs,vp8atvt1,lqu28rjs_vp8atvt1,qwyowsv5,5,6,3,6,1,0,0.09,0,0,6,366,365,demographics_app,completion_code,5,8,0.09,0.23,1,2,1,Man,28,Completed undergraduate University/College degree,40,"no technical issues, it all worked well.",3,366,365,demographics_app,completion_code,5,8,0.71,0.97,2,2,1,Woman,30,Completed undergraduate University/College degree,-39,,"Seller: what is wrong with this hit?
Seller: the amount supposed show does not
Buyer: Hi, have you received payment of $1.00
Seller: not yet
Seller: just looked
Seller: said no
Buyer: thanks",1,1,0,0,0,0,0,0,0,0,0,0
qwyowsv5_6,5e017hfb,5y50c006,5e017hfb_5y50c006,qwyowsv5,6,1,4,7,0,1,0.4,1,0.8,1,366,365,demographics_app,completion_code,4,7,0.9,0.75,1,2,1,Man,32,"Completed advanced University/College degree (Masters, PhD...)",-30,None.,4,366,365,demographics_app,completion_code,4,7,0.95,0.23,2,2,1,Woman,58,Completed secondary school/high school,30,,"Seller: hello
Seller: The transfer was failed.
Buyer: hi okay I'll trust you this time 
Seller: thank you.",NA,1,0,0,0,0,0,0,0,0,0,0
qwyowsv5_7,tqwt671t,ypvg2u66,tqwt671t_ypvg2u66,qwyowsv5,7,5,2,8,1,1,1,0,0.8,5,363,365,demographics_app,summary_page,4,7,0.8,0.7,1,3,1,,NA,,NA,,2,366,365,demographics_app,completion_code,3,6,0.75,0.4,2,2,1,Man,21,Completed secondary school/high school,28,,"Seller: I got the 1.00.
Seller: I don't want to lie anymore lol.
Buyer: sweet! that's perfect then!
Buyer: I hate lying too lol
Seller: Well we're all good then I'm gonna hit next, I think once is my max. I don't know if this goes against the spirit of the experiment but I think being honest would help both of us more than trying to lie.",0,1,0,0,NA,0,0,0,0,0,0,0
qwyowsv5_8,lqu28rjs,oxnr974n,lqu28rjs_oxnr974n,qwyowsv5,8,6,7,9,1,0,0.89,1,0.5,6,366,365,demographics_app,completion_code,5,8,0.09,0.23,1,3,2,Man,28,Completed undergraduate University/College degree,40,"no technical issues, it all worked well.",7,366,365,demographics_app,completion_code,4,7,1,1,2,2,0,Man,33,Completed undergraduate University/College degree,50,,"Buyer: Hello
Seller: hi
Buyer: How did the transfer work out?
Seller: think it worked this time
Seller: yes
Buyer: ok good",0,1,0,0,0,0,0,0,0,0,0,0
qwyowsv5_9,vp8atvt1,xb4mz9rs,vp8atvt1_xb4mz9rs,qwyowsv5,9,3,8,10,0,1,0,1,0.53,3,366,365,demographics_app,completion_code,5,8,0.71,0.97,1,3,1,Woman,30,Completed undergraduate University/College degree,-39,,8,366,365,demographics_app,completion_code,5,8,0,0.86,2,1,1,Woman,27,Completed undergraduate University/College degree,-9,good,"Seller: hi
Buyer: hello
Seller: have you received $1.00?
Buyer: no
Seller: please sent the payment i haven't received it says initial payment failed
Buyer: ok",NA,1,0,0,0,1,0,0,0,0,0,0
qwyowsv5_10,5y50c006,5e017hfb,5y50c006_5e017hfb,qwyowsv5,10,4,1,11,1,1,0.2,0,0.7,4,366,365,demographics_app,completion_code,4,7,0.95,0.23,1,3,1,Woman,58,Completed secondary school/high school,30,,1,366,365,demographics_app,completion_code,4,7,0.9,0.75,2,3,1,Man,32,"Completed advanced University/College degree (Masters, PhD...)",-30,None.,"Buyer: Hello
Seller: hello was the transfer successful?
Buyer: i dont know you're a buyer so you should know
Seller: sorry read that wrong the amount was not trasferred
Buyer: what message are you seeing above this chat window
Seller: that the amount was not transferred.
Buyer: does it say unsuccessful or successful ?",1,1,0,0,0,0,0,0,0,0,0,0
